2020-03-02 20:57:29,671 INFO [root] [test_login.py(test01_login_success:26)] - 员工模块登录信息为：{'success': True, 'code': 10000, 'message': '操作成功！', 'data': '1fe91976-a753-453c-ae51-8b37805fa1ef'}
2020-03-02 20:57:29,852 INFO [root] [test_login.py(test02_mobile_error:34)] - 员工模块登录用户名不存在信息为：{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2020-03-02 20:57:30,000 INFO [root] [test_login.py(test03_password_error:42)] - 员工模块登录密码错误信息为：{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2020-03-02 20:57:30,153 INFO [root] [test_login.py(test04_mobile_is_none:50)] - 员工模块登录用户名为空信息为：{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2020-03-02 20:57:30,310 INFO [root] [test_login.py(test05_password_is_none:58)] - 员工模块登录密码为空信息为：{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2020-03-02 20:57:30,462 INFO [root] [test_login.py(test06_less_mobile_params:66)] - 员工模块登录少mobile参数信息为：{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2020-03-02 20:57:30,611 INFO [root] [test_login.py(test06_less_password_params:74)] - 员工模块登录少password参数信息为：{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2020-03-02 20:57:30,792 INFO [root] [test_login.py(test07_many_params:82)] - 员工模块登录多参信息为：{'success': True, 'code': 10000, 'message': '操作成功！', 'data': 'c0f51537-a9ce-4b56-bb7b-f4d8e6d90c34'}
2020-03-02 20:57:30,971 INFO [root] [test_login.py(test08_error_params:90)] - 员工模块登录错参信息为：{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2020-03-02 20:57:31,120 INFO [root] [test_login.py(test09_not_params:98)] - 员工模块登录无参信息为：{'success': False, 'code': 99999, 'message': '抱歉，系统繁忙，请稍后重试！', 'data': None}
