2020-03-02 17:20:20,102 INFO [root] [test_login.py(test01_login_success:26)] - 员工模块登录信息为：{'success': True, 'code': 10000, 'message': '操作成功！', 'data': 'e6c9fd8a-2f54-40a3-8618-9a7c1eabd75e'}
2020-03-02 17:20:20,252 INFO [root] [test_login.py(test02_mobile_error:34)] - 员工模块登录用户名不存在信息为：{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2020-03-02 17:20:20,395 INFO [root] [test_login.py(test03_password_error:42)] - 员工模块登录密码错误信息为：{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2020-03-02 17:20:20,545 INFO [root] [test_login.py(test04_mobile_is_none:50)] - 员工模块登录用户名为空信息为：{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2020-03-02 17:20:20,693 INFO [root] [test_login.py(test05_password_is_none:58)] - 员工模块登录密码为空信息为：{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2020-03-02 17:20:20,849 INFO [root] [test_login.py(test06_less_params:66)] - 员工模块登录少参信息为：{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2020-03-02 17:20:21,022 INFO [root] [test_login.py(test07_many_params:74)] - 员工模块登录多参信息为：{'success': True, 'code': 10000, 'message': '操作成功！', 'data': 'a971d1b9-56a2-407d-865e-89435a4d5f0e'}
2020-03-02 17:20:21,171 INFO [root] [test_login.py(test08_error_params:82)] - 员工模块登录错参信息为：{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2020-03-02 17:20:21,331 INFO [root] [test_login.py(test09_not_params:90)] - 员工模块登录错参信息为：{'success': False, 'code': 99999, 'message': '抱歉，系统繁忙，请稍后重试！', 'data': None}
