2020-03-02 17:30:26,232 INFO [root] [test_login.py(test01_login_success:26)] - 员工模块登录信息为：{'success': True, 'code': 10000, 'message': '操作成功！', 'data': '1af0422f-75a8-4ffd-8706-44d302df9fdb'}
2020-03-02 17:30:26,401 INFO [root] [test_login.py(test02_mobile_error:34)] - 员工模块登录用户名不存在信息为：{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2020-03-02 17:30:26,552 INFO [root] [test_login.py(test03_password_error:42)] - 员工模块登录密码错误信息为：{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2020-03-02 17:30:26,712 INFO [root] [test_login.py(test04_mobile_is_none:50)] - 员工模块登录用户名为空信息为：{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2020-03-02 17:30:26,880 INFO [root] [test_login.py(test05_password_is_none:58)] - 员工模块登录密码为空信息为：{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2020-03-02 17:30:27,021 INFO [root] [test_login.py(test06_less_mobile_params:66)] - 员工模块登录少mobile参数信息为：{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2020-03-02 17:30:27,165 INFO [root] [test_login.py(test06_less_password_params:74)] - 员工模块登录少password参数信息为：{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2020-03-02 17:30:27,318 INFO [root] [test_login.py(test07_many_params:82)] - 员工模块登录多参信息为：{'success': True, 'code': 10000, 'message': '操作成功！', 'data': 'c0eafd2c-68e2-47c5-b55b-3245589dfa66'}
2020-03-02 17:30:27,480 INFO [root] [test_login.py(test08_error_params:90)] - 员工模块登录错参信息为：{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2020-03-02 17:30:27,628 INFO [root] [test_login.py(test09_not_params:98)] - 员工模块登录无参信息为：{'success': False, 'code': 99999, 'message': '抱歉，系统繁忙，请稍后重试！', 'data': None}
